R_U,R_E,R_M,sum_URLLC,sum_eMBB,sum_mMTC,obj
0,0,50,0.000000,0.000000,10.000000,10.000000
0,10,40,0.000000,-204.000000,10.000000,-194.000000
0,20,30,0.000000,-414.000000,10.000000,-404.000000
0,30,20,0.000000,-414.000000,10.000000,-404.000000
0,40,10,0.000000,-414.000000,7.100000,-406.900000
0,50,0,0.000000,-414.000000,-10.000000,-424.000000
10,0,40,17.005000,0.000000,10.000000,27.005000
10,10,30,17.005000,-204.000000,10.000000,-176.995000
10,20,20,17.005000,-414.000000,10.000000,-386.995000
10,30,10,17.005000,-414.000000,7.100000,-389.895000
10,40,0,17.005000,-414.000000,-10.000000,-406.995000
20,0,30,17.100000,0.000000,10.000000,27.100000
20,10,20,17.100000,-204.000000,10.000000,-176.900000
20,20,10,17.100000,-414.000000,7.100000,-389.800000
20,30,0,17.100000,-414.000000,-10.000000,-406.900000
30,0,20,17.100000,0.000000,10.000000,27.100000
30,10,10,17.100000,-204.000000,7.100000,-179.800000
30,20,0,17.100000,-414.000000,-10.000000,-406.900000
40,0,10,17.100000,0.000000,7.100000,24.200000
40,10,0,17.100000,-204.000000,-10.000000,-196.900000
50,0,0,17.100000,0.000000,-10.000000,7.100000
